ID,Customer_Id,Invoice_Id,Job_Id,Type,Date,Amount,Taxable,Void,Reference
110192,21011,83615,,INV,2003-06-25 00:00:00,64.77,True,False,
110193,24511,00000,,INT,2003-06-30 00:00:00,60.9,False,False,
110194,45011,82928,,INV,2003-06-07 00:00:00,112.88,True,False,
110195,45011,83268,,INV,2003-06-17 00:00:00,56.37,True,False,
110196,45011,83314,,INV,2003-06-18 00:00:00,15.83,True,False,
110197,45011,83487,,INV,2003-06-23 00:00:00,8.48,True,False,
110198,45011,83596,,INV,2003-06-25 00:00:00,4.24,True,False,
110199,47011,24529,,INV,2003-05-27 00:00:00,757.69,True,False,
110200,47011,24543,,INV,2003-06-02 00:00:00,742.58,True,False,
110201,47011,83016,,INV,2003-06-10 00:00:00,146.43,True,False,
110202,47011,83254,,INV,2003-06-16 00:00:00,948.7,True,False,
110203,47011,83251,,INV,2003-06-16 00:00:00,44.2,True,False,
110204,47011,73406,,INV,2003-06-20 00:00:00,-74.2,True,False,
110205,47011,83506,,INV,2003-06-23 00:00:00,139.6,True,False,
110206,47011,83558,,INV,2003-06-24 00:00:00,817.16,True,False,
110207,12512,82959,,INV,2003-06-09 00:00:00,12.79,True,False,
110208,44512,82791,,INV,2003-06-04 00:00:00,1937.15,True,False,
110209,44512,82789,,INV,2003-06-04 00:00:00,1483.32,False,False,
110210,17112,00000,,INT,2003-06-30 00:00:00,24.76,False,False,
110211,14512,82986,,INV,2003-06-10 00:00:00,988.61,True,False,
110212,14512,83017,,INV,2003-06-10 00:00:00,20.01,True,False,
110213,14512,83042,,INV,2003-06-11 00:00:00,84.33,True,False,
110214,18512,82499,,INV,2003-05-27 00:00:00,30.53,True,False,
110215,18512,82656,,INV,2003-05-31 00:00:00,67.31,True,False,
110216,18512,83404,,INV,2003-06-20 00:00:00,125.82,True,False,
110217,19012,83378,,INV,2003-06-19 00:00:00,51.33,True,False,
110218,21012,00000,,INT,2003-06-30 00:00:00,6.58,False,False,
110219,22512,82714,,INV,2003-06-02 00:00:00,303.94,True,False,
110220,22512,24546,,INV,2003-06-04 00:00:00,193.73,True,False,
110221,22112,82998,,INV,2003-06-10 00:00:00,12.6,True,False,
110222,24512,83405,,INV,2003-06-20 00:00:00,10.48,True,False,
110223,8513,00000,,INT,2003-06-30 00:00:00,7.58,False,False,
110224,8013,82929,,INV,2003-06-07 00:00:00,36.28,True,False,
110225,2613,83502,,INV,2003-07-23 00:00:00,715.2,True,False,
110226,5014,82643,,INV,2003-05-30 00:00:00,37.1,True,False,
110227,5014,82915,,INV,2003-06-15 00:00:00,17.08,True,False,
110228,5014,82774,,INV,2003-06-03 00:00:00,57.39,True,False,
110229,5014,83124,,INV,2003-06-12 00:00:00,2.69,True,False,
110230,4014,83135,,INV,2003-06-13 00:00:00,2597.11,True,False,
110231,4014,83390,,INV,2003-06-19 00:00:00,401.68,True,False,
110232,4014,83557,,INV,2003-06-24 00:00:00,279.73,True,False,
110233,4014,83597,,INV,2003-06-25 00:00:00,-55.86,True,False,
110234,14214,82550,,INV,2003-05-28 00:00:00,13.25,True,False,
110235,14514,82520,,INV,2003-05-28 00:00:00,21.93,True,False,
110236,14514,82990,,INV,2003-06-10 00:00:00,181.61,True,False,
110237,14514,83505,,INV,2003-06-23 00:00:00,156.77,True,False,
110238,14514,83598,,INV,2003-06-25 00:00:00,87.97,True,False,
110239,15914,,,PMT,2003-06-28 00:00:00,566.57,False,False,
110240,17214,82834,,INV,2003-06-05 00:00:00,503.11,True,False,
110241,8502,24542,,INV,2003-06-02 00:00:00,8.52,True,False,
110242,21014,82640,,INV,2003-05-30 00:00:00,61.99,False,False,
110243,21014,82931,,INV,2003-06-07 00:00:00,4.12,False,False,
110244,21014,83418,,INV,2003-06-20 00:00:00,136,False,False,
110245,21014,83450,,INV,2003-06-21 00:00:00,-29.22,False,False,
110246,22214,82523,,INV,2003-05-28 00:00:00,0,True,False,
110247,22214,82730,,INV,2003-05-30 00:00:00,-116,True,False,
110248,25014,,,PMT,2003-06-27 00:00:00,157.92,False,False,
110249,25014,,,PMT,2003-06-27 00:00:00,0.09,False,False,
110250,28714,82631,,INV,2003-05-30 00:00:00,125.72,True,False,
110251,26014,,,PMT,2003-06-28 00:00:00,10.7,False,False,
110252,28014,83522,,INV,2003-06-23 00:00:00,12.67,True,False,
110253,30014,82595,,INV,2003-05-29 00:00:00,43.15,True,False,
110254,5015,00000,,INT,2003-06-30 00:00:00,5.72,False,False,
110255,17821,,,PMT,2003-06-26 00:00:00,8507.48,False,False,
110256,17821,82480,,INV,2003-05-27 00:00:00,68.5,False,False,
110257,17821,82570,,INV,2003-05-29 00:00:00,50.45,False,False,
110258,17821,82630,,INV,2003-05-30 00:00:00,51.74,False,False,
