ledger_id,customer_id,statement_date,ledger_date,amount,type_id,reference,ledger_order
61899,11411,1/1/2025,12/4/2024,38.39,1,,84300
61924,21011,1/1/2025,12/6/2024,-63.98,3,,84302
61934,11111,1/1/2025,12/6/2024,-912.55,3,,84298
61939,12512,1/1/2025,12/9/2024,401.44,1,,84303
61966,12512,1/1/2025,12/10/2024,-8.66,3,,84304
61974,12512,1/1/2025,12/12/2024,401.44,1,,84305
62008,11411,1/1/2025,12/18/2024,63.98,1,,84301
62019,12512,1/1/2025,12/19/2024,401.44,1,,84306
*61917,12026,1/1/2025,12/5/2024,-67.13,4,,84377
*62045,55001,1/1/2025,12/27/2024,-2335,3,,84256
1,45024,1/1/2025,12/31/2024,78.75,5,,84375
2,31520,1/1/2025,12/31/2024,14.89,5,,84353
45446,41220,1/1/2025,11/26/2024,120.75,1,,84354
61784,2116,1/1/2025,11/18/2024,21319.62,1,,84322
61847,84502,1/1/2025,12/7/2024,30,1,,84265
61850,55001,1/1/2025,11/26/2024,119.2,2,,84258
61851,40004,1/1/2025,11/26/2024,148.42,1,culvers,84281
61854,55001,1/1/2025,11/26/2024,78,2,,84257
61861,33520,1/1/2025,11/27/2024,-399.85,3,,84308
61862,7521,1/1/2025,11/29/2024,579.4,1,,84362
61867,21020,1/1/2025,11/29/2024,153.65,1,,84351
61874,2116,1/1/2025,12/2/2024,14.29,1,,84323
61875,2116,1/1/2025,12/2/2024,-11319.62,3,,84324
61876,66117,1/1/2025,12/2/2024,340.67,1,,84347
61879,19114,1/1/2025,12/2/2024,294.29,1,,84315
61881,28204,1/1/2025,12/2/2024,3146.45,1,,84274
61883,46023,1/1/2025,12/13/2024,2431.05,1,,84372
61885,18027,1/1/2025,12/3/2024,120.69,2,,84378
61887,10016,1/1/2025,12/3/2024,46.38,1,mintel,84326
61888,41220,1/1/2025,12/2/2024,245.92,1,,84355
61889,29016,1/1/2025,12/2/2024,136.96,1,,84344
61891,55001,1/1/2025,12/3/2024,-14434.45,3,,84254
61896,11122,1/1/2025,12/3/2024,2167.69,1,,84366
61900,41220,1/1/2025,12/4/2024,350.76,1,,84356
61903,10016,1/1/2025,12/4/2024,28.79,1,cirelli,84327
61904,2205,1/1/2025,12/4/2024,-609.9,1,,84286
61906,21020,1/1/2025,12/5/2024,4979.39,1,,84352
61908,16012,1/1/2025,12/5/2024,-14038.21,3,,84367
61909,10016,1/1/2025,12/5/2024,162.47,1,33 edgem,84328
61911,41220,1/1/2025,12/5/2024,283.28,1,,84357
61914,11502,1/1/2025,12/5/2024,165.7,1,,84261
61915,12220,1/1/2025,12/5/2024,60.03,1,,84350
61917,12026,1/1/2025,12/5/2024,-3512.01,3,,84376
61920,84502,1/1/2025,12/6/2024,-386.44,3,,84263
61921,16012,1/1/2025,12/6/2024,145.01,1,,84368
61922,19214,1/1/2025,12/6/2024,-3427.99,3,,84310
61925,19114,1/1/2025,12/6/2024,0,1,,84316
61928,42010,1/1/2025,12/6/2024,78,2,,84296
61930,40115,1/1/2025,12/6/2024,69.95,1,,84318
61932,40004,1/1/2025,12/6/2024,0,1,,84282
61933,46017,1/1/2025,12/6/2024,346.03,1,,84342
61935,28204,1/1/2025,12/6/2024,-21615.44,3,,84273
61936,84502,1/1/2025,12/7/2024,-100,3,,84264
61937,37004,1/1/2025,12/7/2024,-458.09,3,,84280
61938,19214,1/1/2025,12/7/2024,-17000,3,,84312
61941,2205,1/1/2025,12/9/2024,122.34,1,,84287
61942,35110,1/1/2025,12/9/2024,177.5,2,,84295
61943,25014,1/1/2025,12/9/2024,36.99,2,PO 73944,84317
61946,41220,1/1/2025,12/9/2024,495.59,1,,84358
61948,18027,1/1/2025,12/9/2024,235.46,2,,84379
61951,15007,1/1/2025,12/9/2024,-1442.9,3,,84285
61952,40115,1/1/2025,12/9/2024,-214.1,3,,84320
61954,10016,1/1/2025,12/9/2024,-1011.73,3,,84340
61955,18027,1/1/2025,12/9/2024,-3465.41,3,,84383
61957,10016,1/1/2025,12/9/2024,16.79,1,personal,84329
61958,28204,1/1/2025,12/9/2024,1674.44,1,,84275
61959,19214,1/1/2025,12/11/2024,22035.83,2,,84311
61960,10016,1/1/2025,12/10/2024,19.19,1,edgemere,84330
61963,14514,1/1/2025,12/10/2024,296.95,1,,84272
61964,40115,1/1/2025,12/10/2024,42.65,1,,84319
61968,7521,1/1/2025,12/10/2024,-686.07,3,,84365
61969,28204,1/1/2025,12/10/2024,111.96,1,,84276
61971,2205,1/1/2025,12/10/2024,731.89,1,,84288
61972,8502,1/1/2025,12/10/2024,127.95,1,,84259
61975,2205,1/1/2025,12/12/2024,890.24,1,,84289
61979,17702,1/1/2025,12/12/2024,420.21,1,,84260
61981,13103,1/1/2025,12/12/2024,2120.34,1,,84271
61982,2205,1/1/2025,12/12/2024,49.58,1,,84290
61983,41220,1/1/2025,12/12/2024,548.74,1,,84359
61984,43420,1/1/2025,12/13/2024,130,1,,84361
61985,28204,1/1/2025,12/13/2024,46.38,1,,84277
61986,40004,1/1/2025,12/13/2024,0,1,walter,84284
61987,28204,1/1/2025,12/13/2024,1567.39,1,,84278
61994,60015,1/1/2025,12/16/2024,-1718.58,3,,84268
61995,45024,1/1/2025,12/10/2024,-220,3,,84374
61996,19214,1/1/2025,12/16/2024,3427.99,1,,84313
61997,10016,1/1/2025,12/16/2024,203.11,1,loscano,84336
62000,58217,1/1/2025,12/16/2024,-88.18,3,,84346
62001,18027,1/1/2025,12/17/2024,118.39,2,,84380
62002,46017,1/1/2025,12/17/2024,290.82,1,,84343
62005,18027,1/1/2025,12/17/2024,268.6,2,,84381
62011,28204,1/1/2025,12/18/2024,1439.17,1,,84279
62014,19214,1/1/2025,12/18/2024,0,1,duplicate,84314
62015,16012,1/1/2025,12/10/2024,407.31,1,,84369
62017,46023,1/1/2025,12/19/2024,-2624.94,3,,84373
62020,18027,1/1/2025,12/19/2024,200,2,,84382
62021,11502,1/1/2025,12/19/2024,-1379.36,3,,84266
62023,99802,1/1/2025,12/19/2024,911.64,1,,84267
62025,10016,1/1/2025,12/19/2024,66.367,1,219 so nj,84338
62028,16012,1/1/2025,12/19/2024,1596.18,1,,84370
62030,53717,1/1/2025,12/20/2024,159.94,1,,84345
62031,16012,1/1/2025,12/13/2024,-229.07,3,,84371
62033,43420,1/1/2025,12/20/2024,-242.25,3,,84360
62035,39103,1/1/2025,12/21/2024,40.07,1,,84348
62037,10016,1/1/2025,12/23/2024,249.5,1,loscano,84337
62041,2116,1/1/2025,12/24/2024,-5000,3,,84325
62042,39103,1/1/2025,12/24/2024,4131.72,1,,84349
62043,28703,1/1/2025,12/27/2024,80.61,1,farmhouse,84269
62052,40004,1/1/2025,12/28/2024,-12880.68,3,,84283
62056,7521,1/1/2025,12/30/2024,147.57,1,,84363
62060,2205,1/1/2025,12/30/2024,-3000,3,,84292
62061,4810,1/1/2025,12/30/2024,720.15,1,,84294
62062,2205,1/1/2025,12/30/2024,1929.59,1,,84291
62066,28703,1/1/2025,12/30/2024,81.89,1,farmhouse,84270
62067,46017,1/1/2025,12/30/2024,-500,3,,84341
62068,10016,1/1/2025,12/31/2024,170.55,1,hoer,84339
62069,7521,1/1/2025,12/31/2024,63.34,1,,84364
62085,2205,1/1/2025,1/3/2025,-2500,3,,84293
62086,40115,1/1/2025,1/3/2025,-418.12,3,,84321
1,31520,12/1/2024,11/30/2024,14.67,5,,84231
61580,2116,12/1/2024,10/26/2024,70,1,,84208
61583,10016,12/1/2024,10/28/2024,495.8,1,12 parkvw,84214
61584,9517,12/1/2024,10/28/2024,106.45,1,,84222
61586,16012,12/1/2024,10/28/2024,366.73,1,,84240
61598,66117,12/1/2024,10/28/2024,697.43,1,,84226
61605,2116,12/1/2024,10/29/2024,354.81,1,,84209
61611,10016,12/1/2024,10/23/2024,286.17,1,4 edgemere,84215
61619,12220,12/1/2024,10/30/2024,30.8,1,,84229
61623,2116,12/1/2024,10/31/2024,102.83,1,,84210
61624,10016,12/1/2024,10/31/2024,6.32,1,,84216
61626,40115,12/1/2024,10/31/2024,105.66,1,,84206
61634,43420,12/1/2024,10/31/2024,41.58,1,,84237
61636,45024,12/1/2024,10/31/2024,129,2,,84246
61639,19114,12/1/2024,11/1/2024,6310.07,1,,84204
61645,19114,12/1/2024,11/1/2024,0,1,,84205
61659,9517,12/1/2024,11/4/2024,51.71,1,,84223
61660,7521,12/1/2024,11/4/2024,175.71,1,,84239
61667,41220,12/1/2024,11/4/2024,204.17,1,,84232
61668,16012,12/1/2024,11/5/2024,245.24,1,,84241
61676,46023,12/1/2024,11/5/2024,193.89,1,,84245
61679,66117,12/1/2024,11/5/2024,234.65,1,,84227
61682,16012,12/1/2024,11/5/2024,4.6,1,,84242
61689,41220,12/1/2024,11/6/2024,220.72,1,,84233
61702,10016,12/1/2024,11/7/2024,133.17,1,gloria,84217
61704,16012,12/1/2024,10/31/2024,18.77,1,,84243
61708,41220,12/1/2024,11/7/2024,230.52,1,,84234
61725,2116,12/1/2024,11/8/2024,-1045.99,1,,84211
61735,2116,12/1/2024,11/11/2024,536.32,1,,84212
61741,43420,12/1/2024,11/12/2024,200.67,1,,84236
61743,41220,12/1/2024,11/12/2024,654.93,1,,84235
61766,58217,12/1/2024,11/14/2024,88.18,1,,84225
61797,12026,12/1/2024,11/19/2024,3579.14,1,,84247
61798,46017,12/1/2024,11/19/2024,269.86,1,,84224
61802,2116,12/1/2024,11/19/2024,108.96,1,,84213
61808,16012,12/1/2024,11/19/2024,696.26,1,,84244
61813,40115,12/1/2024,11/20/2024,98.36,1,,84207
61814,66117,12/1/2024,11/20/2024,70.37,1,,84228
61815,10016,12/1/2024,11/20/2024,14.93,1,bensel,84218
61821,10016,12/1/2024,11/21/2024,19.68,1,,84219
61841,10016,12/1/2024,11/25/2024,55.66,1,edgemere,84220
61844,29016,12/1/2024,11/25/2024,30.49,1,,84221
61856,12220,12/1/2024,11/27/2024,-989.93,3,,84230
61860,43420,12/1/2024,11/27/2024,-3678.56,3,,84238
61865,2501,12/1/2024,11/22/2024,-550.17,3,,84251
61665,21011,12/1/2024,11/4/2024,63.98,1,,84201
61752,12512,12/1/2024,11/12/2024,8.66,1,,84203
61759,21811,12/1/2024,11/13/2024,-57.58,1,,84202
